genre,prénom
0,ANDRÉ
0,ANDRÉA
0,ANDRÉE
2,ANELOR
1,ANESIE
1,ANETTE
0,ANGE
2,ANGE-MARIE
0,ANGEL
1,ANGELA
2,ANGELBERT
1,ANGELES
2,ANGELI
1,ANGELIA
1,ANGELIE
2,ANGELIN
1,ANGELINA
1,ANGELINE
2,ANGELINO
1,ANGELIQUE
1,ANGELLA
1,ANGELLE
0,ANGELO
2,ANGELUS
2,ANGELY
2,ANGILBERT
1,ANGIOLINA
0,ANGÈLE
1,ANGÉLINE
1,ANGÉLIQUE
1,ANIC
1,ANICA
0,ANICE
0,ANICET
1,ANICETTE
1,ANICIA
1,ANICK
1,ANIDA
1,ANIE
1,ANIELA
1,ANISE
1,ANITA
1,ANITE
1,ANNA
1,ANNA-MARIE
1,ANNAIS
1,ANNALIE
0,ANNE
1,ANNE-MARIE
1,ANNEA
1,ANNECIE
1,ANNECY
1,ANNELIESE
1,ANNELISE
1,ANNEMARIE
2,ANNET
1,ANNETTE
2,ANNIBAL
1,ANNIC
1,ANNICK
1,ANNIE
1,ANNIK
1,ANNITA
1,ANNONCIA
1,ANNONCIADE
1,ANNONCIAT
1,ANNONCIATE
1,ANNONCIATION
1,ANNUNCIATA
1,ANNUNZIATA
1,ANNY
1,ANONCIADE
1,ANRIETTE
2,ANSBERT
0,ANSELME
2,ANSELMO
2,ANTENOR
2,ANTHELME
1,ANTHELMETTE
1,ANTHELMINE
2,ANTHIME
2,ANTHONY
2,ANTHYME
2,ANTIDE
2,ANTIME
0,ANTOINE
1,ANTOINETTE
1,ANTOINISE
2,ANTON
2,ANTONI
1,ANTONIA
0,ANTONIE
1,ANTONIETA
1,ANTONIETTA
0,ANTONIN
1,ANTONINA
1,ANTONINE
2,ANTONINO
2,ANTONIO
2,ANTONIUS
0,ANTONY
1,ANY
1,ANYSIE
1,APOLINE
1,APOLLINA
0,APOLLINAIRE
1,APOLLINE
2,APOLLON
1,APOLLONIE
1,APOLONIE
1,APPOLINA
1,APPOLINAIRE
1,APPOLINE
1,APPOLLINA
2,APPOLLINAIRE
1,APPOLLINE
1,APPOLLONIE
2,APPOLON
1,APPOLONIE
2,ARAM
2,ARAMIS
1,ARCADE
2,ARCADIUS
2,ARCANGELO
1,ARCENE
0,ARCHANGE
2,ARCHIMEDE
2,ARDUINO
1,ARGENTINA
1,ARGENTINE
2,ARGENTINO
1,ARGIA
1,ARGINE
1,ARIANE
1,ARICIE
2,ARIEL
2,ARILLE
2,ARIS
1,ARISTA
2,ARISTE
0,ARISTIDE
2,ARISTILDE
1,ARLETE
1,ARLETTE
1,ARMANCE
2,ARMAND
1,ARMANDA
1,ARMANDE
1,ARMANDINE
2,ARMANDO
2,ARMANT
1,ARMANTHE
1,ARMANTINE
0,ARMEL
1,ARMELINE
1,ARMELLE
1,ARMENIE
1,ARMENTINE
1,ARMIDA
1,ARMIDE
2,ARMON
2,ARNALDO
2,ARNAUD
1,ARNAUDINE
2,ARNAULD
2,ARNAULT
2,ARNO
2,ARNOLD
2,ARNOULD
2,ARNOUX
2,ARON
1,ARSELINE
1,ARSENA
0,ARSENE
1,ARSENIE
2,ARSÈNE
2,ARTEME
2,ARTEMIO
1,ARTEMISE
2,ARTEMON
2,ARTHEME
1,ARTHEMISE
2,ARTHEMON
0,ARTHUR
1,ARTHURIA
1,ARTHURINE
2,ARTUR
1,ASCENCION
1,ASCENSION
1,ASELINE
1,ASSOMPTION
1,ASSUNTA
1,ASTERIE
1,ATHALIE
1,ATHANAISE
2,ATHANAS
0,ATHANASE
1,ATHANASIA
1,ATHANASIE
1,ATHENAIS
1,ATHENAISE
2,ATHOS
2,ATTILA
1,ATTILIA
2,ATTILIO
2,ATTILIUS
2,AUBERT
1,AUBERTINE
0,AUBIN
2,AUBREY
1,AUDE
1,AUDETTE
2,AUDIBERT
1,AUDILE
2,AUGUST
0,AUGUSTA
2,AUGUSTAVE
1,AUGUSTAVIE
0,AUGUSTE
0,AUGUSTIN
1,AUGUSTINA
1,AUGUSTINE
2,AUGUSTO
1,AUREA
2,AUREL
2,AURELE
1,AURELIA
1,AURELIENNE
2,AURELIO
1,AURORA
0,AURORE
0,AURÉLIE
2,AURÉLIEN
1,AUXILIA
2,AVELIN
1,AVELINE
2,AVENANT
2,AVENTIN
1,AVENTINE
2,AVERNE
1,AVIT
1,AVITE
2,AVRIL
1,AVRILLETTE
2,AXEL
2,AYMAR
2,AYMARD
1,AYMARDINE
2,AYME
2,AYMOND
2,AZAEL
1,AZELIE
1,AZELINA
1,AZELINE
1,AZEMA
1,AZEMIA
1,AZEMIE
1,BABETTE
1,BABYLAS
1,BALBINA
1,BALBINE
2,BALTHASAR
2,BALTHAZAR
2,BALTHAZARD
1,BALTHIDE
0,BAPTISTE
2,BAPTISTIN
1,BAPTISTINE
1,BARBARA
0,BARBE
1,BARBERINE
2,BARBIN
0,BARNABE
2,BARTHELEMI
0,BARTHELEMY
2,BARTHOLOME
2,BARTOLOME
2,BARTOLOMEO
1,BASELIE
0,BASILE
1,BASILIA
1,BASILIE
1,BASILINE
2,BASILIO
1,BASILISA
2,BASTIEN
1,BASTIENNE
1,BATHILDE
2,BATTISTA
2,BAYARD
2,BAZILE
1,BEATRIX
2,BELA
2,BELISAIRE
1,BELLA
2,BELLONY
2,BELONI
1,BELONIE
2,BEN
1,BENEDETTA
2,BENEDICT
1,BENEDICTA
1,BENEDICTE
2,BENIAMINO
0,BENIGNE
1,BENITA
2,BENITO
0,BENJAMIN
1,BENJAMINE
2,BENOIST
1,BENOITE
2,BENONI
1,BENONIE
2,BENONY
0,BENOÎT
2,BERANGER
1,BERANGERE
2,BERARD
2,BERENGER
1,BERENGERE
2,BERNABE
1,BERNADE
1,BERNADETTE
2,BERNADIN
1,BERNADINE
0,BERNARD
1,BERNARDE
1,BERNARDETTE
2,BERNARDIN
1,BERNARDINE
2,BERNARDINO
2,BERNARDO
1,BERNERETTE
2,BERNHARD
1,BERTA
1,BERTE
1,BERTHA
0,BERTHE
1,BERTHEA
1,BERTHELINE
2,BERTHIER
1,BERTHILDE
1,BERTHILE
1,BERTHILIE
1,BERTHILLE
2,BERTHIN
1,BERTHINE
2,BERTHOLD
2,BERTHY
2,BERTIE
1,BERTILDE
1,BERTILE
1,BERTILLE
0,BERTIN
1,BERTINA
1,BERTINE
2,BERTO
2,BERTON
2,BERTRAND
1,BERTRANDE
2,BERTY
1,BETTINA
1,BETTY
1,BIANCA
1,BIBI
1,BIBIANE
1,BICE
2,BIEN
2,BIEN-AIME
2,BIENAIME
2,BIENBENIDO
2,BIENVENU
1,BIENVENUE
2,BILY
0,BLAISE
1,BLAISINE
2,BLAIZE
2,BLANCHARD
1,BLANCHE
1,BLANCHETTE
1,BLANDINE
2,BLAS
1,BLEUETTE
1,BLONDINE
1,BLUETTE
2,BOGDAN
2,BOLESLAS
2,BOLESLAW
1,BOLESLAWA
2,BOLESTAW
2,BON
0,BONAVENTURE
1,BONIFACE
1,BONNE
2,BONNET
2,BORIS
2,BORTOLO
2,BOTHA
1,BOZENA
1,BRANISLAVA
0,BRICE
2,BRIEUC
1,BRIGIDE
1,BRIGITE
0,BRIGITTE
2,BRIX
2,BRONISLAS
2,BRONISLAV
2,BRONISLAW
1,BRONISLAWA
1,BRUNA
1,BRUNE
1,BRUNETTA
1,BRUNETTE
1,BRUNHILDE
1,BRUNISLAWA
0,BRUNO
2,BRUNON
2,BRUNOT
1,BRUYERE
1,BÉATRICE
1,BÉRÉNICE
1,CACILE
2,CADET
2,CAIUS
0,CALIXTE
0,CALLISTE
2,CALLIXTE
1,CALOGERA
2,CALOGERO
2,CALVERT
2,CAMELIEN
1,CAMELLE
2,CAMIL
2,CAMILE
1,CAMILIA
1,CAMILLA
1,CAMILLE
1,CAMILLIA
2,CAMILLO
1,CAMÉLIA
2,CANDASSAMY
1,CANDIDA
2,CANDIDE
2,CANDIDO
1,CANDIE
1,CANUT
2,CAPRAIS
1,CARINE
2,CARINO
2,CARL
1,CARLA
2,CARLE
2,CARLO
2,CARLOS
1,CARME
1,CARMEL
1,CARMELA
1,CARMELE
1,CARMELIA
1,CARMELIE
2,CARMELIEN
1,CARMELINA
1,CARMELINE
1,CARMELITE
1,CARMELLA
1,CARMELLE
2,CARMELO
0,CARMEN
1,CARMENE
0,CARMIN
1,CARMINA
2,CARNOT
2,CAROL
1,CAROLA
1,CAROLINA
1,CAROLINE
2,CAROLUS
1,CARPAYE
1,CASILDA
0,CASIMIR
1,CASIMIRA
1,CASIMIRE
2,CASPAR
2,CASSIUS
2,CATALDO
1,CATALINA
1,CATARINA
1,CATERINA
2,CATHERIN
1,CATHERINA
0,CATHERINE
1,CAVERY
1,CAZILDA
2,CECIL
1,CECILIE
2,CECILIEN
2,CECILIO
1,CECILLE
1,CELANIE
1,CELENIE
1,CELERINE
1,CELESTA
0,CELESTE
2,CELESTIN
1,CELESTINA
0,CELESTINE
1,CELIANE
1,CELICE
1,CELIE
2,CELIN
1,CELINA
1,CELINIE
2,CELSE
1,CEPHISE
1,CERES
0,CESAIRE
2,CESAR
2,CESARE
1,CESARIE
1,CESARINA
1,CESARINE
1,CESIRA
2,CESLAS
2,CESLAW
1,CESLAWA
2,CESTAW
1,CEZARINE
1,CHANTAL
1,CHANTALE
2,CHARLE
0,CHARLEMAGNE
1,CHARLERINE
0,CHARLES
1,CHARLESIA
2,CHARLET
1,CHARLETTE
2,CHARLEY
2,CHARLIE
1,CHARLINE
1,CHARLISE
2,CHARLOT
1,CHARLOTTE
1,CHARLOTTINE
2,CHARLY
2,CHERI
1,CHERIE
1,CHERIETTE
2,CHERUBIN
2,CHERY
2,CHILDEBERT
2,CHRETIEN
0,CHRISTIAN
1,CHRISTIANA
1,CHRISTIANE
1,CHRISTIANNE
2,CHRISTIEN
1,CHRISTIENNE
2,CHRISTIN
1,CHRISTINA
1,CHRISTINE
0,CHRISTOPHE
2,CHRISTOPHER
2,CHRYSOSTOME
1,CIDONIE
1,CLADIE
1,CLADY
2,CLAIR
1,CLAIRA
0,CLAIRE
1,CLAIRETTE
2,CLAIRIN
1,CLAIRINE
2,CLAIRVILLE
1,CLAIRVILLIA
1,CLARA
1,CLARICE
1,CLARISSE
2,CLARIUS
0,CLAUDE
1,CLAUDETTE
1,CLAUDIA
1,CLAUDIE
2,CLAUDIEN
1,CLAUDINA
1,CLAUDINE
2,CLAUDINET
1,CLAUDINETTE
2,CLAUDIO
0,CLAUDIUS
2,CLAUDY
2,CLAUS
1,CLAVIE
2,CLEBERT
1,CLEDA
1,CLELIA
1,CLELIE
2,CLEMENCEAU
1,CLEMENCIA
2,CLEMENCIN
1,CLEMENTE
1,CLEMENTIA
2,CLEMENTIN
1,CLEMIRE
2,CLEO
1,CLEONE
1,CLEOPATRE
1,CLEOPHA
2,CLEOPHAS
1,CLEORE
2,CLERC
1,CLERIE
2,CLERMONT
2,CLERY
0,CLET
1,CLODETTE
1,CLODIA
1,CLODINE
2,CLODION
2,CLODIUS
2,CLODOMIR
1,CLOE
1,CLORINDE
1,CLORINTHE
0,CLOTAIRE
2,CLOTHAIRE
1,CLOTHILDE
0,CLOTILDE
1,CLOUD
1,CLOVICIA
2,CLOVIS
0,CLÉMENCE
0,CLÉMENT
1,CLÉMENTINE
1,COECILIA
2,COLBERT
0,COLETTE
2,COLIN
1,COLINETTE
1,COLLETTE
2,COLOMB
1,COLOMBA
2,COLOMBAN
0,COLOMBE
1,COME
1,CONCEPCION
1,CONCEPTE
1,CONCEPTION
1,CONCESSION
1,CONCETTA
1,CONCHA
1,CONCHITA
1,CONGETTA
2,CONRAD
1,CONSOLATION
0,CONSTANCE
1,CONSTANCIA
2,CONSTANS
0,CONSTANT
2,CONSTANTIN
1,CONSTANTINA
1,CONSTANTINE
2,CONSTENTIN
1,CONSUELA
1,CONSUELO
1,CORA
2,CORADO
1,CORALIE
1,CORDELIA
2,CORENTIN
1,CORENTINE
1,CORINA
1,CORINE
1,CORINNE
0,CORNEILLE
1,CORNELIA
1,CORNELIE
2,CORNELIUS
2,CORNIL
1,COSETTA
1,COSETTE
2,COSME
1,COUPAMA
1,COUPAMAN
1,COUPAYE
2,COUPOUSSAMY
2,COURT
2,COURTE
0,CREPIN
1,CRESCENCE
1,CRESCENT
2,CRESLAW
2,CRESTAW
2,CRISPIN
2,CRISTIAN
1,CRISTIANE
1,CRISTINE
2,CRISTOBAL
1,CUNEGONDE
2,CURT
0,CYPRIEN
1,CYPRIENNE
1,CYPRINE
0,CYR
2,CYRANO
1,CYRIAQUE
1,CYRIENNE
2,CYRIL
2,CYRILE
1,CYRILLA
0,CYRILLE
1,CYRILLIA
2,CYRIUS
2,CYRUS
2,CZELAW
2,CZESLAS
2,CZESLAW
1,CZESLAWA
2,CZESTAW
0,CÉCILE
1,CÉCILIA
2,CÉLESTIN
1,CÉLESTINE
1,CÉLIA
1,CÉLINA
0,CÉLINE
2,CÉSAR
1,CÉSARINE
2,DAGOBERT
1,DAHLIA
1,DAISY
1,DALIA
1,DALILA
2,DAMAS
0,DAMASE
1,DAMASINE
0,DAMIEN
1,DAMIENNE
2,DAMIENS
0,DANIEL
1,DANIELA
1,DANIELE
1,DANIELLA
1,DANIELLE
2,DANILO
2,DANNY
2,DANTE
2,DANTES
2,DANTON
0,DANY
1,DANYELE
1,DANYELLE
1,DARIA
1,DARIE
2,DARIO
0,DARIUS
2,DAUPHIN
1,DAUPHINE
0,DAVID
1,DAVIDE
1,DAVILIA
1,DEA
0,DEL
1,DELE
1,DELFINA
1,DELFINE
1,DELIA
1,DELICE
1,DELICIA
1,DELLE
2,DELPHIN
0,DELPHINE
2,DELPHIS
2,DEMETRE
2,DEMETRIO
2,DEMETRIUS
2,DEMOSTHENE
2,DEMOSTHENES
0,DENIS
1,DENISE
1,DENIZE
2,DENYS
1,DENYSE
2,DEODAT
1,DERNA
1,DESILIA
2,DESIR
0,DESIREE
1,DESLE
2,DESMOND
1,DESOLINE
1,DESPINA
1,DEVOTE
1,DIANA
1,DIANE
0,DIDIER
2,DIEGO
2,DIEGUE
2,DIETRICH
2,DIEUDONNE
1,DIEUDONNEE
2,DIEUDONNÉ
2,DIMITRI
2,DIMITRIS
1,DINA
1,DINAH
1,DINNA
2,DINO
2,DIOGENE
2,DIONIS
1,DIVINE
2,DOCTROVE
0,DOCTROVEE
1,DOLIE
1,DOLLY
2,DOLOR
1,DOLORES
1,DOLORÈS
1,DOMENICA
2,DOMENICO
2,DOMINGO
1,DOMINICA
2,DOMINICO
0,DOMINIQUE
1,DOMINIQUETTE
1,DOMITILDE
1,DOMITILLE
2,DON
1,DONA
2,DONADIEU
2,DONALD
0,DONAT
1,DONATE
2,DONATIEN
1,DONATIENNE
2,DONATO
1,DONIA
1,DORA
1,DORETTE
1,DORIA
1,DORINA
1,DORINE
1,DORIS
1,DOROTHE
1,DOROTHEA
0,DOROTHEE
1,DOROTHY
1,DOROTHÉE
2,DOSITHE
0,DOSITHEE
2,DOUGLAS
2,DRUON
2,DURAND
0,DÉSIRÉ
1,DÉSIRÉE
2,EBERHARD
1,EDA
2,EDDY
2,EDELBERT
1,EDESE
2,EDGAR
0,EDGARD
2,EDGARDO
2,EDILBERT
1,EDILBERTE
1,EDILE
1,EDITE
1,EDITH
1,EDITHE
1,EDITTE
1,EDMA
0,EDME
0,EDMEE
2,EDMIRE
2,EDMON
0,EDMOND
1,EDMONDE
1,EDMONDINE
1,EDMONE
1,EDMONISE
1,EDMONNE
2,EDMONT
2,EDMUND
1,EDMÉE
1,EDNA
0,EDOUARD
1,EDOUARDINE
1,EDOUARINE
1,EDOUARLINE
1,EDOUARLISE
2,EDOUART
2,EDUARD
0,EDVARD
1,EDVIGE
2,EDVIN
2,EDWARD
2,EDWART
1,EDWIG
0,EDWIGE
2,EDWIN
2,EFFLAM
2,EGIDE
2,EGIDIO
2,EGISTE
1,EGLANTINE
1,EGLE
1,EGLEE
1,EGLENTINE
2,EGON
1,EGYPTIENNE
1,EILEEN
2,EITEL
1,ELAINE
1,ELDA
1,ELEINE
1,ELENA
1,ELENE
2,ELEODORE
1,ELEONA
2,ELEONOR
1,ELEONORA
0,ELEONORE
2,ELEUTHER
2,ELEUTHERE
1,ELFRIDA
1,ELFRIDE
1,ELFRIEDE
2,ELI
0,ELIA
2,ELIACIN
1,ELIANA
1,ELIANE
1,ELIANNE
2,ELIAS
1,ELIDA
1,ELIDE
1,ELIDIE
2,ELIDOR
0,ELIE
2,ELIEN
1,ELIENNE
1,ELIETTE
2,ELIEZER
1,ELIMA
2,ELIN
1,ELINA
1,ELINE
2,ELIO
2,ELIODORE
2,ELIS
1,ELISA
1,ELISABELLE
0,ELISABETH
1,ELISABETHE
1,ELISABHET
1,ELISCA
0,ELISE
0,ELISEE
1,ELISENE
1,ELISETTE
2,ELISIEN
1,ELISKA
1,ELIXENE
1,ELIZA
1,ELIZABETH
1,ELIZE
1,ELLA
1,ELLE
0,ELLEN
1,ELLI
1,ELLIANE
1,ELLIE
1,ELLY
1,ELMA
1,ELMIE
1,ELMINA
1,ELMIRA
1,ELMIRE
2,ELMO
1,ELMYRE
1,ELODIE
0,ELOI
2,ELOIS
1,ELOISE
1,ELOISINE
2,ELOY
2,ELPHEGE
1,ELSA
1,ELSE
1,ELSIE
1,ELVA
1,ELVIA
1,ELVINA
1,ELVINE
2,ELVIO
1,ELVIRA
1,ELVIRE
1,ELWIRE
2,ELY
1,ELYANE
1,ELYETTE
2,ELYSEE
1,ELZA
2,ELZEAR
2,ELZEARD
1,ELÉONORE
1,EMA
2,EMANUEL
2,EMARD
1,EMELDA
1,EMELIA
1,EMELIE
1,EMELINA
1,EMELINE
1,EMERANCE
1,EMERANTE
1,EMERANTINE
1,EMERENCE
1,EMERENTIENNE
1,EMERENTINE
2,EMERIC
2,EMERY
2,EMIL
1,EMILA
2,EMILAND
1,EMILDA
0,EMILE
1,EMILIA
1,EMILIANE
0,EMILIE
2,EMILIEN
1,EMILIENE
0,EMILIENNE
1,EMILIETTE
2,EMILIO
2,EMILLE
1,EMILLIENNE
1,EMILY
1,EMIRA
1,EMIRE
0,EMMA
0,EMMANUEL
1,EMMANUELLA
1,EMMANUELLE
2,EMMAUS
1,EMME
1,EMMELIE
1,EMMELINE
1,EMMI
1,EMMILIENNE
1,EMMY
1,ENA
2,ENAULT
1,ENCARNACION
2,ENEE
2,ENGEL
2,ENGELBERT
1,ENGRACE
2,ENNEMOND
1,ENNEMONDE
1,ENOGAT
1,ENOGATE
2,ENRICO
2,ENRIQUE
2,ENSO
2,ENZO
1,EPHISE
2,EPHRAIM
2,EPHREM
0,EPIPHANE
1,EPIPHANIE
1,EPONINE
2,ERALDO
2,ERASME
2,EREMBERT
2,ERHARD
2,ERIC
1,ERICA
2,ERICH
2,ERICK
2,ERIK
1,ERIKA
1,ERIKE
1,ERINA
1,ERIQUA
1,ERIQUE
1,ERITA
1,ERMANCE
2,ERMANO
1,ERMELINA
1,ERMELINDA
1,ERMELINDE
1,ERMELINE
1,ERMENCE
1,ERMIDA
1,ERMINA
1,ERMINE
1,ERMINIA
1,ERMINIE
2,ERMINIO
1,ERNA
0,ERNEST
1,ERNESTA
2,ERNESTE
1,ERNESTINA
1,ERNESTINE
2,ERNESTO
2,ERNO
2,ERNST
1,ERSILIA
1,ERSILIE
2,ERVE
2,ERVIN
2,ERWIN
2,ERWINE
2,ERY
1,ESILDA
1,ESMERALDA
0,ESPERANCE
1,ESPERANZA
1,ESPERIE
2,ESPRIT
1,ESPÉRANCE
2,ESTEBAN
1,ESTELE
1,ESTELLA
1,ESTELLE
1,ESTELLIE
1,ESTELLINE
1,ESTER
1,ESTERINA
2,ESTEVE
0,ESTHER
1,ESTHERE
1,ESTHERINA
1,ETHEL
1,ETIENETTE
1,ETIENNA
0,ETIENNE
1,ETIENNETTE
1,ETIENNISE
2,ETTORE
1,EUCHARISTE
0,EUCHER
2,EUDORE
2,EUDOXE
0,EUDOXIE
2,EUDOXIN
2,EUGEN
1,EUGENA
1,EUGENIA
2,EUGENIO
0,EUGÈNE
0,EUGÉNIE
0,EULALIE
1,EULODIE
1,EULOGE
1,EUPHEMIE
1,EUPHENIE
2,EUPHRASE
0,EUPHRASIE
1,EUPHRASINE
1,EUPHROISIE
1,EUPHROISINE
1,EUPHROSINE
1,EURANIE
0,EUSEBE
1,EUSEBIA
1,EUSEBIE
2,EUSEBIO
0,EUSTACHE
1,EUSTASE
1,EUSTASIE
1,EUSTELLE
0,EUTROPE
1,EUZEBIE
0,EVA
2,EVAN
1,EVANCE
1,EVANGELINE
0,EVARISTE
2,EVARISTO
1,EVE
1,EVELIE
1,EVELINA
1,EVELINE
1,EVELYN
1,EVELYNE
2,EVENCE
2,EVENOR
2,EVENORD
1,EVODIE
2,EVRARD
2,EVREMONT
2,EWALD
1,EXILIE
2,EXUPERE
1,EZILDA
2,EZIO
2,FABIEN
1,FABIENNE
2,FABIUS
2,FABRICE
2,FAIDHERBE
1,FANCHETTE
1,FANELIE
1,FANIE
1,FANNIE
0,FANNY
1,FANY
2,FARGEAU
1,FATMA
2,FAUST
1,FAUSTA
1,FAUSTE
0,FAUSTIN
1,FAUSTINA
1,FAUSTINE
2,FAUSTINO
2,FAUSTO
1,FEBRONIE
1,FEDORA
1,FELIA
1,FELICE
1,FELICIA
2,FELICIANO
0,FELICIE
0,FELICIEN
1,FELICIENNE
1,FELICITA
1,FELICITAS
0,FELICITE
1,FELICITEE
1,FELISA
1,FELISE
1,FELIXIA
1,FELIXINE
2,FENELON
1,FERDELINE
1,FERDILIE
0,FERDINAND
1,FERDINANDE
2,FERDINANDO
1,FERDINE
2,FEREOL
2,FERIE
2,FERJEUX
1,FERLANDE
0,FERNAND
1,FERNANDA
1,FERNANDE
1,FERNANDINE
2,FERNANDO
2,FERREOL
2,FERRER
2,FERRIE
2,FERRIER
2,FERRUCCIO
2,FERRY
2,FERUCCIO
2,FERUCIO
2,FEVRIER
1,FIACRE
2,FIDEL
0,FIDELE
1,FIDELIA
1,FIDELINE
2,FIDELIS
1,FIDES
1,FIFI
2,FIORAVANTE
2,FIORAVANTI
2,FIORAVENTI
2,FIORE
1,FIORINA
1,FIRMA
1,FIRMAINE
0,FIRMIN
1,FIRMINA
1,FIRMINE
1,FLAVIA
1,FLAVIE
0,FLAVIEN
1,FLAVIENNE
2,FLAVIO
1,FLEUR
1,FLEURE
1,FLEURENTINE
1,FLEURESTINE
1,FLEURETTE
2,FLEURI
1,FLEURICE
1,FLEURIDA
